# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
    305   0.932449578E+00   0.245756069E+12   0.151409798E+14   0.745118564E+13
    306   0.931005419E+00   0.256471739E+12   0.167293377E+14   0.100838640E+14
    307   0.929528242E+00   0.267644693E+12   0.185265286E+14   0.136266045E+14
    308   0.928017344E+00   0.279293922E+12   0.205646348E+14   0.183708245E+14
    309   0.926472013E+00   0.291439178E+12   0.228813126E+14   0.246856290E+14
    310   0.924891530E+00   0.304100996E+12   0.255208668E+14   0.330298478E+14
    311   0.923275169E+00   0.317300728E+12   0.285355498E+14   0.439615782E+14
    312   0.921622197E+00   0.331060568E+12   0.319871397E+14   0.581428653E+14
    313   0.919931874E+00   0.345403595E+12   0.359488576E+14   0.763368354E+14
    314   0.918203456E+00   0.360353805E+12   0.405077043E+14   0.993947405E+14
    315   0.916436194E+00   0.375936155E+12   0.457673212E+14   0.128231228E+15
    316   0.914629333E+00   0.392176594E+12   0.518515006E+14   0.163787635E+15
    317   0.912782113E+00   0.409102096E+12   0.589084968E+14   0.206985165E+15
    318   0.910893769E+00   0.426740682E+12   0.671163380E+14   0.258671999E+15
    319   0.908963535E+00   0.445121448E+12   0.766893871E+14   0.319570122E+15
    320   0.906990644E+00   0.464274601E+12   0.878864657E+14   0.390228323E+15
    321   0.904974330E+00   0.484231493E+12   0.101020944E+15   0.470987229E+15
    322   0.902913830E+00   0.505024666E+12   0.116473308E+15   0.561960364E+15
    323   0.900808389E+00   0.526687896E+12   0.134706845E+15   0.663032681E+15
    324   0.898657254E+00   0.549256239E+12   0.156287301E+15   0.773875388E+15
    325   0.896459683E+00   0.572766078E+12   0.181907589E+15   0.893973929E+15
    326   0.894214936E+00   0.597255175E+12   0.212418935E+15   0.102266461E+16
    327   0.891922278E+00   0.622762723E+12   0.248870255E+15   0.115917516E+16
    328   0.889580973E+00   0.649329410E+12   0.292558095E+15   0.130266517E+16
    329   0.887190291E+00   0.676997472E+12   0.345090173E+15   0.145226322E+16
    330   0.884749497E+00   0.705810759E+12   0.408466473E+15   0.160709868E+16
    331   0.882257857E+00   0.735814788E+12   0.485183028E+15   0.176632720E+16
    332   0.879714640E+00   0.767056809E+12   0.578365147E+15   0.192914971E+16
    333   0.877119117E+00   0.799585863E+12   0.691938990E+15   0.209482546E+16
    334   0.874470567E+00   0.833452842E+12   0.830853241E+15   0.226268004E+16
    335   0.871768274E+00   0.868710549E+12   0.100136662E+16   0.243210931E+16
    336   0.869011525E+00   0.905413758E+12   0.121142233E+16   0.260258041E+16
    337   0.866199609E+00   0.943619273E+12   0.147113678E+16   0.277363017E+16
    338   0.863331816E+00   0.983385988E+12   0.179343997E+16   0.294486168E+16
    339   0.860407438E+00   0.102477495E+13   0.219491742E+16   0.311593988E+16
    340   0.857425767E+00   0.106784945E+13   0.269692151E+16   0.328658664E+16
    341   0.854386092E+00   0.111267507E+13   0.332704411E+16   0.345657564E+16
    342   0.851287695E+00   0.115931980E+13   0.412107463E+16   0.362572718E+16
    343   0.848129849E+00   0.120785413E+13   0.512561337E+16   0.379390311E+16
